GEO ID,State Abbreviation,State,State PrEP-to-Need Ratio,Male PrEP-to-Need Ratio,Female PrEP-to-Need Ratio,Age LE 24 PrEP-to-Need Ratio,Age 25-34 PrEP-to-Need Ratio,Age 35-44 PrEP-to-Need Ratio,Age 45-54 PrEP-to-Need Ratio,Age 55-64 PrEP-to-Need Ratio,Age 65+ PrEP-to-Need Ratio,Black PrEP-to-Need Ratio,White PrEP-to-Need Ratio,Hispanic PrEP-to-Need Ratio,Year
1,AL,Alabama,5.66,6.22,3.04,4.01,5.83,6.33,5.83,8.05,8.54,3.03,14.66,1.98,2023
2,AK,Alaska,27.68,27.62,29.0,12.67,33.88,33.14,47.0,26.67,12.5,18.33,43.77,37.0,2023
4,AZ,Arizona,10.68,11.81,4.1,7.69,11.44,10.82,10.05,12.27,18.25,1.92,23.35,6.94,2023
5,AR,Arkansas,6.72,7.7,2.57,4.79,6.51,7.69,8.4,9.2,4.8,2.67,12.16,4.2,2023
6,CA,California,14.1,15.6,5.45,9.76,14.88,15.27,13.39,15.85,15.75,4.42,38.37,7.16,2023
8,CO,Colorado,18.88,19.77,10.41,11.3,18.59,22.78,21.49,25.86,27.2,6.41,42.3,6.28,2023
9,CT,Connecticut,18.95,23.0,6.42,19.63,17.95,19.25,19.73,19.13,25.4,6.06,51.84,8.69,2023
10,DE,Delaware,10.3,12.01,3.45,5.68,9.41,13.45,10.69,18.14,12.4,4.21,28.38,5.73,2023
11,DC,"Washington, D.C.",44.48,49.56,13.5,11.2,54.38,64.63,49.71,47.42,23.83,20.3,258.32,18.59,2023
12,FL,Florida,13.44,14.41,9.81,9.5,12.58,13.75,14.77,18.16,17.43,6.37,34.07,10.67,2023
13,GA,Georgia,6.49,7.57,2.42,3.42,6.36,8.17,9.71,8.13,5.22,3.24,26.0,3.06,2023
15,HI,Hawaii,29.97,32.13,11.0,21.44,20.78,46.73,61.25,44.0,14.0,5.5,44.39,30.71,2023
16,ID,Idaho,23.63,26.12,8.71,31.67,17.64,35.5,70.0,13.5,12.5,8.33,32.67,10.77,2023
17,IL,Illinois,15.75,18.32,5.12,9.44,16.51,18.61,18.47,16.47,13.29,5.02,61.95,7.48,2023
18,IN,Indiana,9.68,11.2,3.84,7.58,10.08,9.55,9.31,13.55,16.9,3.26,21.09,3.46,2023
19,IA,Iowa,18.47,20.09,8.95,20.14,21.2,17.17,15.11,17.25,12.4,2.1,36.4,3.82,2023
20,KS,Kansas,13.02,14.69,4.64,10.83,12.16,13.59,15.5,19.88,20.0,3.85,28.19,3.49,2023
21,KY,Kentucky,9.64,10.9,4.0,8.42,9.5,10.07,8.78,13.92,10.33,3.78,15.45,1.35,2023
22,LA,Louisiana,6.33,7.01,3.96,3.98,6.85,7.45,7.11,7.13,8.06,3.16,16.68,4.37,2023
23,ME,Maine,34.39,52.73,5.57,35.25,33.92,29.9,25.29,54.0,-8.0,2.17,68.76,20.0,2023
24,MD,Maryland,11.61,13.6,4.82,9.5,12.22,12.74,12.0,10.42,8.19,6.03,54.48,5.23,2023
25,MA,Massachusetts,28.37,35.5,7.96,34.97,33.92,23.25,19.93,36.6,17.55,5.22,79.92,10.88,2023
26,MI,Michigan,11.97,13.06,6.15,7.93,12.44,13.02,13.28,14.7,21.73,3.69,28.17,5.88,2023
27,MN,Minnesota,23.52,26.54,8.17,13.54,23.95,27.24,21.44,59.7,32.83,5.48,58.91,4.07,2023
28,MS,Mississippi,3.42,3.68,2.57,2.25,4.16,3.74,3.57,2.87,13.25,2.27,8.55,1.06,2023
29,MO,Missouri,10.96,12.55,4.71,7.75,12.41,10.93,9.87,12.98,19.5,3.84,22.06,3.45,2023
30,MT,Montana,20.1,21.88,9.0,22.75,15.4,27.6,22.67,18.0,-8.0,6.0,29.72,7.33,2023
31,NE,Nebraska,14.41,16.47,4.59,19.9,13.95,15.65,9.25,24.0,9.5,3.6,26.27,5.19,2023
32,NV,Nevada,8.6,8.65,8.26,5.65,7.25,9.53,11.07,11.5,14.0,1.92,21.23,5.64,2023
33,NH,New Hampshire,41.37,46.93,14.5,36.17,47.82,47.29,28.33,70.0,16.33,3.4,54.38,15.0,2023
34,NJ,New Jersey,11.76,13.38,4.23,9.81,13.32,12.52,9.67,11.68,8.25,3.85,61.45,5.29,2023
35,NM,New Mexico,12.43,13.15,6.05,10.79,12.38,12.8,12.52,13.06,16.8,4.46,23.84,10.98,2023
