GEO ID,State Abbreviation,State,State PrEP Users,State PrEP Rate,State PrEP Rate Stability,Male PrEP Users,Male PrEP Rate,Male PrEP Rate Stability,Female PrEP Users,Female PrEP Rate,Female PrEP Rate Stability,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age LE 24 PrEP Rate Stability,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 25-34 PrEP Rate Stability,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 35-44 PrEP Rate Stability,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 45-54 PrEP Rate Stability,Age 55-64 PrEP Users,Age 55-64 PrEP Rate,Age 55-64 PrEP Rate Stability,Age 65+ PrEP Users,Age 65+ PrEP Rate,Age 65+ PrEP Rate Stability,Black PrEP Users,Black PrEP Rate,Black PrEP Rate Stability,White PrEP Users,White PrEP Rate,White PrEP Rate Stability,Hispanic PrEP Users,Hispanic PrEP Rate,Hispanic PrEP Rate Stability,Year
1,AL,Alabama,1044,26,Y,943,48,Y,101,5,Y,145,19,Y,407,64,Y,221,37,Y,205,32,Y,55,8,Y,18,2,Y,324,30,Y,668,24,Y,39,27,Y,2017
2,AK,Alaska,602,100,Y,519,164,Y,84,29,Y,60,50,Y,227,188,Y,127,137,Y,120,132,Y,67,70,Y,9,11,N,117,572,Y,408,107,Y,57,148,Y,2017
4,AZ,Arizona,2340,40,Y,2193,76,Y,143,5,Y,224,20,Y,883,92,Y,574,66,Y,407,48,Y,194,23,Y,61,5,Y,64,26,Y,1778,52,Y,445,26,Y,2017
5,AR,Arkansas,411,16,Y,371,31,Y,41,3,Y,65,14,Y,143,36,Y,121,33,Y,55,15,Y,26,7,Y,5,1,N,63,17,Y,315,17,Y,24,15,Y,2017
6,CA,California,25697,78,Y,24235,149,Y,1434,9,Y,2614,41,Y,9829,164,Y,6457,124,Y,4402,86,Y,1937,41,Y,449,8,Y,1131,60,Y,16530,127,Y,5712,48,Y,2017
8,CO,Colorado,2247,48,Y,2104,89,Y,141,6,Y,272,31,Y,948,108,Y,566,74,Y,339,47,Y,100,14,Y,28,4,Y,119,64,Y,1755,53,Y,315,34,Y,2017
9,CT,Connecticut,1584,52,Y,1382,93,Y,207,13,Y,300,52,Y,570,129,Y,342,81,Y,223,44,Y,122,24,Y,23,4,Y,214,71,Y,1037,49,Y,262,59,Y,2017
10,DE,Delaware,278,34,Y,248,64,Y,30,7,Y,34,24,Y,87,68,Y,51,47,Y,55,44,Y,36,27,Y,15,9,Y,68,40,Y,183,35,Y,20,31,Y,2017
11,DC,"Washington,
D.C.",3786,634,Y,3621,1293,Y,162,51,Y,251,248,Y,1836,1125,Y,967,946,Y,497,649,Y,202,287,Y,43,51,Y,1105,417,Y,2323,998,Y,270,453,Y,2017
12,FL,Florida,8435,47,Y,7800,89,Y,633,7,Y,822,28,Y,2788,101,Y,2032,81,Y,1759,64,Y,788,28,Y,219,5,Y,921,35,Y,5011,50,Y,2179,49,Y,2017
13,GA,Georgia,4492,52,Y,4149,100,Y,344,8,Y,424,25,Y,1604,111,Y,1139,84,Y,922,65,Y,327,26,Y,72,5,Y,1414,53,Y,2706,57,Y,299,41,Y,2017
15,HI,Hawaii,421,35,Y,396,66,Y,26,4,Y,46,23,Y,128,62,Y,113,63,Y,78,45,Y,42,23,Y,18,7,Y,11,47,N,231,82,Y,40,38,Y,2017
16,ID,Idaho,244,17,Y,227,32,Y,17,2,Y,40,14,Y,102,45,Y,52,24,Y,40,20,Y,9,4,N,3,1,N,10,103,N,216,18,Y,13,8,Y,2017
17,IL,Illinois,9901,92,Y,9236,177,Y,664,12,Y,1288,64,Y,4158,234,Y,2411,147,Y,1409,84,Y,522,31,Y,124,6,Y,1294,87,Y,6814,100,Y,1415,84,Y,2017
18,IN,Indiana,1552,28,Y,1364,50,Y,188,7,Y,243,22,Y,595,69,Y,342,42,Y,256,30,Y,94,11,Y,25,2,Y,216,43,Y,1228,27,Y,92,27,Y,2017
19,IA,Iowa,727,28,Y,682,53,Y,44,3,Y,114,22,Y,298,75,Y,158,42,Y,106,28,Y,42,10,Y,9,2,N,27,31,Y,679,30,Y,13,10,Y,2017
20,KS,Kansas,520,22,Y,476,40,Y,45,4,Y,73,15,Y,208,54,Y,106,30,Y,88,26,Y,38,10,Y,6,1,N,15,11,Y,461,25,Y,38,15,Y,2017
21,KY,Kentucky,768,21,Y,714,39,Y,52,3,Y,93,13,Y,306,53,Y,183,33,Y,138,23,Y,37,6,Y,13,2,Y,95,32,Y,649,20,Y,16,14,Y,2017
22,LA,Louisiana,2117,55,Y,1799,96,Y,317,16,Y,322,44,Y,852,126,Y,469,81,Y,292,51,Y,148,24,Y,33,5,Y,620,51,Y,1330,57,Y,106,59,Y,2017
23,ME,Maine,275,24,Y,257,46,Y,18,3,Y,35,19,Y,72,46,Y,69,46,Y,60,32,Y,32,15,Y,8,3,N,8,54,N,258,24,Y,5,29,N,2017
24,MD,Maryland,2904,57,Y,2567,106,Y,337,13,Y,474,52,Y,1157,139,Y,651,85,Y,400,48,Y,178,22,Y,46,5,Y,1087,73,Y,1470,55,Y,201,45,Y,2017
25,MA,Massachusetts,5114,87,Y,4707,166,Y,413,14,Y,762,69,Y,2030,208,Y,1069,129,Y,782,83,Y,411,44,Y,62,6,Y,387,95,Y,3730,85,Y,709,113,Y,2017
